,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,ratings,beds,bathroom_type,property,room_type
11804,Nelson,Queens,Astoria,40.77198901,-73.92141326,219,30,29,11/7/2023,3.07,3,89,29,4.83,3 beds,1 bath,Rental unit in Queens,2 bedrooms
11806,Mel,Brooklyn,Bedford-Stuyvesant,40.6841939,-73.9142964,119,30,22,8/26/2023,2.08,3,274,22,4.82,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
11807,Nizar,Bronx,Norwood,40.87410771,-73.8745106,70,30,13,9/3/2023,1.21,1,365,13,4.38,1 bed,1 shared bath,Rental unit in The Bronx,1 bedroom
11809,Azza,Brooklyn,Bedford-Stuyvesant,40.68127962,-73.95228794,225,30,11,10/11/2023,1.12,1,239,11,5,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
11810,Margarita,Brooklyn,Midwood,40.62926697,-73.97031932,110,30,3,9/3/2023,0.41,1,355,3,5,1 bed,1 bath,Condo in Brooklyn,1 bedroom
11811,Fanny,Bronx,Longwood,40.8276595,-73.9059457,80,30,39,11/7/2023,3.6,1,345,39,4.62,1 bed,1 bath,Rental unit in The Bronx,1 bedroom
11815,Raysantiago,Queens,Jackson Heights,40.75318819,-73.88460785,37,30,23,11/1/2023,3.05,1,137,23,4.61,1 bed,1 shared bath,Rental unit in Queens,1 bedroom
11816,Sal,Staten Island,Bull's Head,40.60909741,-74.1598717,188,30,7,11/19/2023,0.65,1,154,7,4.86,3 beds,1 bath,Home in Staten Island,3 bedrooms
11817,Ariel,Brooklyn,Williamsburg,40.71365296,-73.96395747,749,30,23,10/28/2023,2.79,2,180,23,4.91,7 beds,2 baths,Home in Brooklyn,3 bedrooms
11818,Susan,Queens,Springfield Gardens,40.66687674,-73.7550017,60,30,11,11/28/2023,1.44,3,364,11,4.82,1 bed,1 shared bath,Home in Queens,1 bedroom
11819,Sophie,Manhattan,Harlem,40.81074378,-73.94213375,105,30,12,11/4/2023,1.38,1,133,12,4.92,1 bed,1 private bath,Rental unit in New York,1 bedroom
11820,Davey,Brooklyn,Bedford-Stuyvesant,40.6847466,-73.9291163,75,30,4,8/11/2023,0.61,1,365,4,4.5,1 bed,1.5 baths,Rental unit in Brooklyn,1 bedroom
11822,Theresa,Manhattan,Upper East Side,40.77810632,-73.9543089,950,30,6,10/22/2023,0.74,1,269,6,5,3 beds,3 baths,Rental unit in New York,3 bedrooms
11823,Julia,Queens,Flushing,40.76413781,-73.82433433,195,30,5,9/2/2023,0.68,1,270,5,4.6,3 beds,1 bath,Rental unit in Queens,2 bedrooms
11825,Maria,Manhattan,East Harlem,40.79398829,-73.94719684,45,30,5,11/4/2023,0.47,4,156,5,3.6,1 bed,1 shared bath,Rental unit in New York,1 bedroom
11827,Emma,Brooklyn,Bedford-Stuyvesant,40.67981688,-73.92026217,224,30,10,8/20/2023,1.01,13,365,10,4.8,2 beds,1 bath,Condo in Brooklyn,1 bedroom
11828,Emma,Brooklyn,Bedford-Stuyvesant,40.68193664,-73.91849881,186,30,9,9/4/2023,1.0,13,365,9,5,2 beds,1 bath,Condo in Brooklyn,1 bedroom
11829,Emma,Brooklyn,Bedford-Stuyvesant,40.67953553,-73.91888035,143,30,27,11/4/2023,2.5,13,365,27,4.67,2 beds,1 bath,Condo in Brooklyn,1 bedroom
11830,Sebastian,Manhattan,Upper West Side,40.79381983,-73.97607764,199,30,11,10/2/2023,1.02,2,269,11,4,1 bed,1 bath,Rental unit in New York,Studio
11831,Alejandro,Brooklyn,Flatbush,40.63937441,-73.95473801,59,30,15,9/5/2023,1.81,1,351,15,4.6,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
11835,Alan,Brooklyn,Bedford-Stuyvesant,40.67989798,-73.91234316,80,30,21,10/8/2023,2.32,1,18,21,4.95,1 bed,1 shared bath,Rental unit in Brooklyn,2 bedrooms
11836,Chun Yun,Queens,Elmhurst,40.74221775,-73.88419445,70,30,18,8/27/2023,1.68,1,365,18,4.22,2 beds,1 shared bath,Rental unit in Queens,1 bedroom
11837,Stay360,Staten Island,Tottenville,40.50848895,-74.24308594,386,30,9,8/28/2023,1.04,1,365,9,4.11,6 beds,2 baths,Home in Staten Island,4 bedrooms
11842,Will,Manhattan,Harlem,40.80383082,-73.9495373,200,30,36,12/3/2023,4.5,1,364,36,4.97,2 beds,1 bath,Rental unit in New York,1 bedroom
11843,B,Queens,South Ozone Park,40.66493199,-73.81553072,900,30,14,10/13/2023,1.56,2,364,14,4.5,8 beds,4 baths,Home in Queens,6 bedrooms
11844,Lana,Queens,Glendale,40.70331348,-73.88324674,59,30,5,10/16/2023,0.7,15,365,5,5,1 bed,2.5 shared baths,Home in Queens,1 bedroom
11847,Keiko,Manhattan,Midtown,40.75234125,-73.97360064,185,3,11,11/15/2023,1.17,1,9,11,4.91,2 beds,1 private bath,Hotel in New York,1 bedroom
11848,Times,Manhattan,Hell's Kitchen,40.75652,-73.99408,488,1,13,11/28/2023,13.0,2,129,13,4.23,2 beds,1 bath,Rental unit in New York,1 bedroom
11849,James,Queens,Corona,40.73871,-73.86664,89,1,35,11/15/2023,3.31,1,68,35,4.69,1 bed,1 shared bath,Home in Queens,1 bedroom
11850,Anna,Brooklyn,Sunset Park,40.65415513,-74.00463419,150,30,8,11/5/2023,1.0,1,164,8,5,1 bed,1 private bath,Townhouse in Brooklyn,1 bedroom
11851,Jocelyne,Queens,Glendale,40.7000861,-73.8936105,497,30,9,11/9/2023,1.16,2,97,9,4.56,5 beds,2 baths,Townhouse in Queens,5 bedrooms
11852,Seçil,Brooklyn,Bedford-Stuyvesant,40.69054624,-73.95936666,110,30,10,7/16/2023,0.98,1,351,10,4.5,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
11857,Joseph,Manhattan,Hell's Kitchen,40.76238723,-73.99105876,175,30,11,10/8/2023,1.29,3,365,11,4.91,1 bed,1 shared bath,Rental unit in New York,1 bedroom
11859,Justin,Manhattan,West Village,40.73728271,-74.00704939,349,30,3,4/16/2023,0.34,1,88,3,5,1 bed,1 bath,Rental unit in New York,1 bedroom
11860,David,Manhattan,East Harlem,40.79804,-73.94006,149,30,26,11/16/2023,2.5,1,30,26,4.58,3 beds,1.5 baths,Loft in New York,2 bedrooms
11862,Evgeniya,Queens,Maspeth,40.7224439,-73.9118014,80,30,17,10/2/2023,2.1,1,316,17,4.88,2 beds,1 bath,Rental unit in Queens,1 bedroom
11863,Jackson,Manhattan,East Village,40.72361,-73.9793,275,30,8,5/28/2023,0.77,1,127,8,5,1 bed,1 bath,Rental unit in New York,1 bedroom
11864,Shamica,Queens,St. Albans,40.70339082,-73.76440265,100,30,16,10/30/2023,2.41,1,363,16,4.5,1 bed,1 bath,Home in Queens,Studio
11865,Yotlaire,Brooklyn,Bedford-Stuyvesant,40.68979572,-73.93819911,105,30,3,10/31/2023,0.36,5,216,3,5,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
11866,Christopher,Queens,Queens Village,40.7039473,-73.728269,229,30,7,9/4/2023,0.87,4,365,7,4.86,1 bed,1 bath,Home in Queens,1 bedroom
11867,Racquel,Queens,Springfield Gardens,40.6699698,-73.7641267,120,30,4,9/8/2023,0.98,6,55,4,4,3 beds,1 private bath,Home in Queens,3 bedrooms
11869,Feige,Brooklyn,Crown Heights,40.66918386,-73.93978423,180,30,18,6/21/2023,1.78,3,355,18,4.56,5 beds,1 bath,Home in Brooklyn,3 bedrooms
11870,Bp Stays.,Manhattan,Harlem,40.82372076,-73.94111726,36,30,27,11/11/2023,2.84,21,251,27,4.44,1 bed,1 shared bath,Serviced apartment in New York,1 bedroom
11871,Lauren,Queens,Ridgewood,40.70558708,-73.91373243,140,30,3,7/8/2023,0.3,2,365,3,4.67,1 bed,1 bath,Rental unit in Queens,1 bedroom
11872,Deirdre,Manhattan,Hell's Kitchen,40.75725033,-73.9927704,765,4,4,11/16/2023,1.3,6,14,4,5,3 beds,2 baths,Rental unit in New York,2 bedrooms
11874,Steve,Brooklyn,Canarsie,40.64633,-73.8951,71,30,36,11/7/2023,3.69,2,180,36,4.78,1 bed,1 shared bath,Home in Brooklyn,1 bedroom
11875,Ekta,Brooklyn,Bushwick,40.68703829,-73.91219619,30,30,11,10/1/2023,1.02,4,365,11,4.82,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
11876,Bp Stays.,Manhattan,Harlem,40.82223425,-73.94115997,35,30,23,10/31/2023,2.58,21,248,23,4.65,1 bed,1 shared bath,Serviced apartment in New York,1 bedroom
11877,Ekta,Brooklyn,Bushwick,40.68674952,-73.91367839,80,30,13,10/18/2023,1.39,4,350,13,5,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
11878,Pearl,Manhattan,Chinatown,40.71731,-73.99421,84,1,9,11/23/2023,1.16,4,52,9,4.67,1 bed,1 shared bath,Rental unit in New York,1 bedroom
11879,Paul,Bronx,Longwood,40.81971976,-73.89847338,49,30,17,10/9/2023,2.16,1,365,17,4.47,1 bed,1 shared bath,Rental unit in The Bronx,1 bedroom
11880,Sercan,Brooklyn,Williamsburg,40.7090336,-73.9615428,106,30,7,7/12/2023,0.69,1,126,7,4.86,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
11882,Mina,Brooklyn,Bedford-Stuyvesant,40.69382,-73.94774,219,30,34,11/17/2023,3.45,1,90,34,4.76,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
11883,Zahava,Brooklyn,Bushwick,40.69078628,-73.91041744,180,2,24,11/26/2023,4.31,1,343,24,4.88,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
11884,Christian,Queens,Jackson Heights,40.75424006,-73.89303884,49,30,7,6/12/2023,0.66,3,180,7,3.71,1 bed,1 shared bath,casa particular in Queens,1 bedroom
11885,Clara,Queens,Astoria,40.7599618,-73.9251788,103,30,62,11/24/2023,6.0,1,326,62,4.61,2 beds,1 bath,Rental unit in Queens,1 bedroom
11886,Keisha,Queens,St. Albans,40.70207072,-73.76826216,400,30,12,9/25/2023,1.45,4,353,12,4.92,8 beds,2 baths,Home in Queens,6 bedrooms
11887,Abby,Brooklyn,Bedford-Stuyvesant,40.68633996,-73.92435164,100,30,22,10/25/2023,2.45,1,269,22,5,2 beds,1 private bath,Rental unit in Brooklyn,2 bedrooms
11888,Édgar,Manhattan,East Harlem,40.7883737,-73.9536851,88,30,3,11/20/2023,0.37,1,124,3,5,2 beds,1 bath,Rental unit in New York,1 bedroom
11889,Talysha,Staten Island,Port Richmond,40.63951348,-74.13753013,128,30,78,11/24/2023,7.43,1,10,78,4.83,2 beds,1 bath,Rental unit in Staten Island,1 bedroom
11890,Opulence,Brooklyn,Brownsville,40.65961011,-73.913492,109,30,5,9/30/2023,0.51,3,339,5,5,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
11891,Eliza,Manhattan,Midtown,40.7474158,-73.98883259,243,1,19,11/12/2023,1.84,58,147,19,4.53,5 beds,1 private bath,Rental unit in New York,1 bedroom
11892,Melissa,Brooklyn,Canarsie,40.64098239,-73.90777103,250,30,44,11/18/2023,4.36,1,175,44,4.86,4 beds,2 baths,Home in Brooklyn,3 bedrooms
11893,Lucy,Manhattan,Chelsea,40.74471696,-74.00578257,251,5,45,11/30/2023,4.3,2,51,45,4.98,1 bed,1 private bath,Condo in New York,1 bedroom
11894,Benny,Queens,South Ozone Park,40.67463994,-73.81937986,110,30,32,10/9/2023,3.03,3,365,32,4.81,5 beds,1 bath,Rental unit in Queens,2 bedrooms
11896,Greg,Brooklyn,Williamsburg,40.7088962,-73.9407844,133,30,16,9/24/2023,1.78,1,148,16,4.44,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
11899,Al,Manhattan,Upper East Side,40.77215865,-73.96487841,550,30,30,10/24/2023,3.5,2,357,30,4.67,3 beds,2.5 baths,Rental unit in New York,3 bedrooms
11900,Zoe,Brooklyn,Bedford-Stuyvesant,40.68258575,-73.95052038,174,30,42,11/9/2023,3.97,1,178,42,4.9,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
11903,Clara,Brooklyn,Williamsburg,40.7145166,-73.9492286,134,30,29,11/25/2023,2.88,1,121,29,4.69,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
11905,Lanee,Queens,Cambria Heights,40.6972776,-73.7459215,90,30,5,11/30/2023,0.52,1,313,5,4.8,1 bed,1 bath,Guest suite in Queens,1 bedroom
11907,Morales,Manhattan,Hell's Kitchen,40.7637108,-73.9891393,184,30,40,10/16/2023,4.17,2,365,40,4.38,3 beds,1 shared bath,Rental unit in New York,1 bedroom
11908,Sonia,Manhattan,Harlem,40.81945169,-73.9538824,195,30,6,7/22/2023,0.75,2,156,6,5,1 bed,1 bath,Rental unit in New York,1 bedroom
11909,Rocio,Brooklyn,Bushwick,40.70137199,-73.91432118,200,30,25,11/4/2023,2.6,1,359,25,4.72,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
11910,William,Queens,Ozone Park,40.66766,-73.83593,139,30,6,9/4/2023,1.41,1,270,6,3.5,1 bed,1 bath,Home in Queens,1 bedroom
11911,Debora,Queens,South Ozone Park,40.6704458,-73.79195407,305,30,8,9/5/2023,1.36,3,364,8,4.75,3 beds,2 baths,Home in Queens,3 bedrooms
11912,Racquel,Queens,Springfield Gardens,40.67007352,-73.7640363,45,30,3,9/16/2023,0.73,6,1,3,5,1 bed,1 shared bath,Home in Queens,1 bedroom
11913,Vitaliy,Manhattan,Hell's Kitchen,40.76216959,-73.98631045,345,30,40,11/17/2023,4.11,2,298,40,4.98,3 beds,1 bath,Rental unit in New York,1 bedroom
11914,Abosi,Queens,Rosedale,40.65092287,-73.73502371,100,30,29,10/1/2023,3.63,1,89,29,4.66,1 bed,1 bath,Rental unit in Queens ,1 bedroom
11916,Delphine,Queens,Long Island City,40.74636108,-73.94705918,320,30,9,9/1/2023,0.94,1,176,9,5,4 beds,1.5 baths,Rental unit in Queens,3 bedrooms
11917,Maristela,Bronx,Mott Haven,40.81086,-73.92489,421,1,31,11/26/2023,3.23,1,345,31,4.81,4 beds,3 baths,Home in New York,3 bedrooms
11918,Tori,Brooklyn,Bedford-Stuyvesant,40.67724784,-73.92144015,245,30,11,9/3/2023,1.14,4,90,11,5,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
11919,Feige,Brooklyn,Crown Heights,40.67147689,-73.93888862,130,30,26,8/20/2023,2.57,3,351,26,4.81,6 beds,1 bath,Home in Brooklyn,3 bedrooms
11920,H Two E,Brooklyn,Bushwick,40.6898477,-73.9090739,94,30,5,10/11/2023,0.72,4,364,5,3.8,1 bed,1 shared bath,Home in Brooklyn,1 bedroom
11922,Ruko B,Manhattan,Hell's Kitchen,40.76257229,-73.99781405,250,30,10,11/30/2023,1.15,1,161,10,4.7,1 bed,1 bath,Rental unit in New York,Studio
11923,Justin,Brooklyn,Bedford-Stuyvesant,40.69303733,-73.95198385,211,3,38,11/4/2023,4.04,1,38,38,4.92,1 bed,1 private bath,Home in Brooklyn,1 bedroom
11924,Karen,Queens,East Elmhurst,40.76306742,-73.87660388,125,30,12,9/10/2023,1.78,1,365,12,4.92,3 beds,1 bath,Rental unit in Queens,3 bedrooms
11926,Àngel,Manhattan,Washington Heights,40.85800282,-73.93242939,100,30,44,11/16/2023,4.8,1,334,44,4.98,1 bed,1 bath,Rental unit in New York,1 bedroom
11929,Emanuele,Manhattan,Harlem,40.8192713,-73.953777,79,30,25,10/16/2023,2.48,1,270,25,4.88,1 bed,1 shared bath,Rental unit in New York,1 bedroom
11930,Ashton,Manhattan,East Village,40.72604313,-73.98943917,140,30,17,10/20/2023,1.93,1,270,17,4.88,1 bed,1 shared bath,Rental unit in New York,1 bedroom
11931,Farhan,Queens,East Elmhurst,40.76873,-73.87977,221,30,48,9/4/2023,5.78,2,365,48,4.96,2 beds,1 bath,Loft in Queens,2 bedrooms
11934,Smyles And Diara,Brooklyn,Bushwick,40.70105512,-73.92601386,150,30,6,9/4/2023,0.97,1,277,6,5,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
11935,Dan,Manhattan,Roosevelt Island,40.7626971,-73.94823398,109,30,21,9/27/2023,2.34,1,302,21,4.81,1 bed,1 shared bath,Rental unit in New York,1 bedroom
11936,Micheal,Manhattan,East Village,40.72793546,-73.9825065,60,30,25,10/16/2023,2.68,1,308,25,4.88,1 bed,1 shared bath,Rental unit in New York,1 bedroom
11937,Echelon Living,Brooklyn,Canarsie,40.63193234,-73.89176251,262,2,47,11/18/2023,6.1,1,287,47,5,2 beds,1 bath,Rental unit in Brooklyn,Studio
11938,Micah,Brooklyn,Williamsburg,40.7102352,-73.9649074,300,30,7,10/13/2023,0.72,1,248,7,5,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
11939,Brenda,Bronx,Williamsbridge,40.88172739,-73.85804888,100,30,27,9/24/2023,2.67,1,364,27,4.81,7 beds,1 bath,Home in The Bronx,2 bedrooms
11940,Dani,Queens,Sunnyside,40.74289,-73.9129,110,30,13,10/25/2023,1.62,1,165,13,5,1 bed,1.5 baths,Rental unit in Queens,1 bedroom
11941,Haja,Queens,Jamaica Hills,40.7099016,-73.7995745,225,30,32,10/16/2023,3.39,1,364,32,4.88,2 beds,2 baths,Home in Queens,2 bedrooms
11942,Jared,Brooklyn,Greenpoint,40.73123427,-73.95300656,100,30,8,7/15/2023,0.82,4,246,8,4.63,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
11943,Ren,Queens,South Ozone Park,40.66361003,-73.81549101,914,30,9,10/8/2023,1.02,2,364,9,4.67,8 beds,4 baths,Home in Queens,6 bedrooms
11944,Phar'Victor,Brooklyn,Bedford-Stuyvesant,40.6889,-73.95518,45,60,21,9/17/2023,2.35,6,295,21,4.52,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
11945,Kareem,Queens,Jamaica,40.6923568,-73.7855357,436,30,11,7/31/2023,1.05,1,364,11,4.64,4 beds,1 bath,Rental unit in Queens,3 bedrooms
11946,Leila,Queens,South Ozone Park,40.6733613,-73.81093125,154,1,38,12/3/2023,4.62,1,350,38,4.97,2 beds,1 private bath,Home in Queens,2 bedrooms
11947,Sabitrie,Queens,Richmond Hill,40.70518,-73.81965,45,30,60,9/4/2023,6.23,3,365,60,4.92,1 bed,1 shared bath,Rental unit in Queens,1 bedroom
11948,Arman,Queens,Astoria,40.76822415,-73.92751593,214,2,33,12/1/2023,3.55,1,161,33,4.88,2 beds,1 private bath,Guest suite in Queens,2 bedrooms
11949,Simone,Brooklyn,Fort Hamilton,40.61231805,-74.03166197,148,1,37,9/6/2023,3.58,1,277,37,4.97,2 beds,2 baths,Home in Brooklyn,3 bedrooms
11950,Ashley,Brooklyn,Bushwick,40.69316242,-73.9202502,75,30,41,11/4/2023,3.97,1,186,41,4.61,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
11951,Ren,Queens,South Ozone Park,40.66344384,-73.81364309,407,30,13,8/13/2023,1.45,2,364,13,4.08,5 beds,2 baths,Home in Queens,3 bedrooms
11953,Andrea,Queens,Jamaica,40.70112713,-73.81234811,278,30,43,11/12/2023,4.46,1,365,43,4.93,4 beds,2 baths,Rental unit in Queens,3 bedrooms
11959,Salma,Bronx,Belmont,40.8552755,-73.886547,200,30,3,2/18/2023,0.3,1,268,3,4.67,3 beds,1 bath,Rental unit in The Bronx,3 bedrooms
11961,Lucia,Queens,Long Island City,40.75542936,-73.93468001,100,30,15,11/1/2023,1.56,1,321,15,4.8,2 beds,1.5 shared baths,Rental unit in Long Island City,1 bedroom
11962,Lana,Queens,Glendale,40.70230905,-73.88385562,36,30,7,9/21/2023,0.83,15,352,7,5,1 bed,2.5 shared baths,Home in Queens,1 bedroom
11964,Suemattie,Queens,Cambria Heights,40.68982,-73.74545,248,1,28,10/1/2023,2.9,1,168,28,5,2 beds,1 private bath,Home in Queens,2 bedrooms
11965,María Gracia,Brooklyn,Fort Greene,40.6888101,-73.9757854,300,30,5,9/16/2023,0.63,1,95,5,4.8,1 bed,1 bath,Home in Brooklyn,1 bedroom
11968,Michael,Brooklyn,Park Slope,40.67020931,-73.97785759,200,4,6,9/30/2023,0.78,3,124,6,5,2 beds,1 private bath,Home in Brooklyn,2 bedrooms
11970,Gabriella,Manhattan,Chelsea,40.745978,-73.996752,253,1,29,11/19/2023,3.02,1,336,29,4.55,2 beds,1 bath,Rental unit in New York,1 bedroom
11971,Devin,Manhattan,Midtown,40.76632069,-73.97800011,821,1,28,11/19/2023,2.87,1,85,28,5,2 beds,1.5 baths,Rental unit in New York,1 bedroom
11972,Paola,Queens,Ditmars Steinway,40.77588056,-73.91300116,50,30,13,9/9/2023,1.28,1,269,13,4.85,1 bed,1 shared bath,Rental unit in Queens,1 bedroom
11973,B,Queens,South Ozone Park,40.66406179,-73.81233313,393,30,8,8/25/2023,0.87,2,364,8,5,5 beds,2 baths,Home in Queens,3 bedrooms
11975,H Two E,Brooklyn,Bushwick,40.69045386,-73.91021881,140,30,3,10/8/2023,0.41,4,365,3,5,1 bed,1 shared bath,Home in Brooklyn,1 bedroom
11976,RoomPicks,Manhattan,Midtown,40.76165542,-73.97558426,100,1,3,8/5/2023,0.32,289,61,3,4,2 beds,2 baths,Serviced apartment in New York,2 bedrooms
11977,Jodi,Bronx,Highbridge,40.83316971,-73.9304478,80,30,14,9/1/2023,1.34,2,365,14,4.71,1 bed,1 shared bath,Rental unit in The Bronx,1 bedroom
11981,RoomPicks,Manhattan,Midtown,40.76351108,-73.97666485,241,1,3,7/30/2023,0.35,289,62,3,4.33,1 bed,1 bath,Serviced apartment in New York,1 bedroom
11987,Reservations,Manhattan,Lower East Side,40.71906616,-73.98728613,424,1,4,5/14/2023,0.41,140,357,4,4,1 bed,1 bath,Serviced apartment in New York,1 bedroom
11988,Lucineia,Manhattan,Chelsea,40.74908107,-73.99676682,271,1,49,11/19/2023,4.98,1,272,49,4.9,2 beds,1 bath,Rental unit in New York,1 bedroom
11989,Enroy,Queens,Jamaica,40.67136795,-73.76529652,128,30,7,9/4/2023,1.09,3,365,7,4.86,2 beds,1 shared bath,Home in Jamaica,1 bedroom
11991,Reservations,Manhattan,Lower East Side,40.71872704,-73.98727775,424,1,4,11/27/2023,3.16,140,353,4,4,1 bed,1 bath,Serviced apartment in New York,1 bedroom
11992,Rachel,Brooklyn,Bedford-Stuyvesant,40.69608353,-73.94330988,375,30,29,10/9/2023,3.15,6,359,29,4.76,4 beds,1.5 baths,Rental unit in Brooklyn,4 bedrooms
11993,Noura,Staten Island,Woodrow,40.54569393,-74.19095145,70,30,3,4/14/2023,0.29,3,365,3,5,2 beds,1 shared bath,Rental unit in Staten Island,1 bedroom
11994,RoomPicks,Manhattan,Midtown,40.76213961,-73.97532677,241,1,13,11/12/2023,1.54,289,62,13,4.46,1 bed,1 bath,Serviced apartment in New York,1 bedroom
11995,Enroy,Queens,Springfield Gardens,40.66682922,-73.76852036,253,30,5,8/26/2023,0.91,3,364,5,4,1 bed,1 private bath,Home in Jamaica,1 bedroom
11996,Enroy,Queens,Springfield Gardens,40.6694007,-73.76523134,106,30,4,5/11/2023,0.49,3,365,4,4.75,1 bed,1 private bath,Home in Jamaica,1 bedroom
11997,Rachel,Manhattan,Chinatown,40.71633865,-73.99834304,169,30,9,9/17/2023,0.93,1,180,9,4.11,1 bed,1 bath,Rental unit in New York,1 bedroom
11998,Mckenzie,Brooklyn,Red Hook,40.67810768,-74.01105044,165,30,15,9/11/2023,1.72,1,153,15,5,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
11999,Robertny,Bronx,Williamsbridge,40.88000801,-73.86027681,95,30,27,9/24/2023,2.68,1,365,27,4.78,1 bed,1 bath,Home in The Bronx,1 bedroom
12002,Luke,Manhattan,Kips Bay,40.74327977,-73.98181017,122,30,43,11/22/2023,4.2,1,364,43,4.28,1 bed,1 shared bath,Rental unit in New York,1 bedroom
12004,The Manhattan Club,Manhattan,Midtown,40.76611094,-73.98169232,696,1,3,10/16/2023,0.3,10,289,3,5,2 beds,1 bath,Hotel in New York,1 bedroom
12005,The Manhattan Club,Manhattan,Midtown,40.7639769,-73.98029217,720,1,10,11/30/2023,1.22,10,309,10,4.8,2 beds,2 baths,Hotel in New York,1 bedroom
12007,Sara,Brooklyn,Navy Yard,40.70282491,-73.98001308,69,30,3,10/29/2023,0.53,1,307,3,5,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
12008,Emanuel,Queens,Forest Hills,40.73074829,-73.84756384,199,30,34,11/29/2023,3.46,1,172,34,4.85,1 bed,1 private bath,Home in Queens,1 bedroom
12009,Maria,Manhattan,Gramercy,40.73322975,-73.98173829,200,30,3,8/30/2023,0.7,1,260,3,5,2 beds,1 bath,Rental unit in New York,2 bedrooms
12010,Gabriel,Brooklyn,Cypress Hills,40.678382,-73.893888,146,30,21,11/23/2023,2.14,8,276,21,4.57,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
12012,Giorgi,Manhattan,Morningside Heights,40.81446,-73.95952,79,30,38,11/26/2023,3.86,1,180,38,4.79,1 bed,1 shared bath,Rental unit in New York,1 bedroom
12013,Alexes,Bronx,Norwood,40.87579096,-73.8831208,49,30,36,10/29/2023,3.54,4,147,36,4.44,3 beds,1.5 baths,Rental unit in The Bronx,1 bedroom
12015,Julie,Manhattan,Upper East Side,40.77493497,-73.95100169,205,30,6,9/15/2023,0.64,1,35,6,5,1 bed,1 bath,Rental unit in New York,1 bedroom
12016,Javier,Queens,Elmhurst,40.73236195,-73.87424925,65,30,4,3/1/2023,0.4,4,365,4,4.75,1 bed,1 shared bath,Rental unit in Queens,1 bedroom
12023,Junior,Manhattan,Upper East Side,40.78186537,-73.9475232,99,30,45,11/6/2023,4.44,1,119,45,4.91,1 bed,1 shared bath,Rental unit in New York,1 bedroom
12025,Coco And Davis,Manhattan,East Village,40.72832824,-73.9835363,303,30,5,11/10/2023,0.64,2,122,5,5,1 bed,1 bath,Rental unit in New York,1 bedroom
12026,Glendon,Queens,Rosedale,40.65419344,-73.73819119,138,2,48,11/28/2023,4.91,1,237,48,4.96,2 beds,1 private bath,Home in Queens,2 bedrooms
12028,Opulence,Brooklyn,Brownsville,40.66036905,-73.91220012,150,30,16,11/12/2023,1.67,3,244,16,4.69,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
12029,Roger,Manhattan,Harlem,40.80275431,-73.94651374,686,30,27,11/11/2023,3.09,2,346,27,5,4 beds,2.5 baths,Home in New York,4 bedrooms
12030,Kareem,Brooklyn,Bay Ridge,40.6293677,-74.02512075,119,30,6,9/29/2023,0.6,2,364,6,5,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
12031,Ewelina,Queens,Middle Village,40.71361803,-73.88351333,189,2,37,11/12/2023,3.79,1,153,37,4.84,3 beds,2 baths,Rental unit in Queens,2 bedrooms
12033,Opulence,Brooklyn,Brownsville,40.66231154,-73.91437833,117,30,11,10/2/2023,1.11,3,339,11,4.64,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
12034,Mary,Brooklyn,East Flatbush,40.6502464,-73.9245696,65,30,18,11/25/2023,1.91,2,355,18,4.94,2 beds,1 shared bath,Home in Brooklyn,1 bedroom
12035,Chelsea,Manhattan,Chelsea,40.74466625,-73.99213368,527,1,33,11/20/2023,5.18,2,134,33,4.36,1 bed,1 bath,Rental unit in New York,1 bedroom
12036,George,Brooklyn,Bedford-Stuyvesant,40.68617621,-73.93282948,123,30,23,10/7/2023,2.35,1,365,23,5,1 bed,1 bath,Townhouse in Brooklyn,1 bedroom
