,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,ratings,beds,bathroom_type,property,room_type
8684,Karlyle,Brooklyn,Crown Heights,40.67618,-73.92664,157,30,71,11/10/2023,3.64,3,267,38,4.85,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
8685,AFI Apartments,Manhattan,Upper East Side,40.77087,-73.95535,113,30,3,9/13/2023,0.17,31,337,2,5,1 bed,1 bath,Rental unit in New York,1 bedroom
8686,Sarah,Manhattan,Midtown,40.74611,-73.98404,350,30,7,10/2/2023,0.43,1,291,4,5,4 beds,1 bath,Condo in New York,2 bedrooms
8687,King,Queens,Astoria,40.76003,-73.91614,45,30,19,11/5/2023,1.26,2,338,14,4.63,1 bed,1 shared bath,Rental unit in Queens,1 bedroom
8688,Ouafi,Queens,Long Island City,40.76016,-73.92952,111,30,43,11/6/2023,2.19,1,131,26,4.53,1 bed,1 bath,Rental unit in Queens,1 bedroom
8689,Bk,Brooklyn,Williamsburg,40.712749,-73.963951,250,30,3,8/18/2023,0.21,1,152,1,5,1 bed,1 bath,Loft in Brooklyn,1 bedroom
8690,Siara S.,Brooklyn,Flatbush,40.65057,-73.96225,197,30,33,11/4/2023,2.04,1,69,21,4.88,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
8691,Linda,Brooklyn,Cobble Hill,40.6861,-73.99556,100,30,4,7/21/2023,0.23,1,61,2,5,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
8692,Daniel,Manhattan,Upper West Side,40.77965,-73.98095,97,30,11,11/1/2023,0.66,9,241,10,4.91,2 beds,1 bath,Rental unit in New York,1 bedroom
8693,Jermaine,Queens,Fresh Meadows,40.73784,-73.78728,149,30,24,9/12/2023,1.26,3,180,10,3.71,3 beds,1 bath,Rental unit in Fresh Meadows ,3 bedrooms
8694,Lukas,Brooklyn,Williamsburg,40.712582,-73.963127,130,30,11,10/2/2023,0.67,1,216,8,4.91,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
8695,Teresa,Manhattan,Inwood,40.86753,-73.92257,55,30,86,9/5/2023,4.4,4,365,36,4.73,1 bed,1 shared bath,Rental unit in New York,1 bedroom
8696,Elsie,Brooklyn,Bedford-Stuyvesant,40.67943,-73.92642,110,30,25,9/9/2023,1.35,1,84,12,4.68,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
8697,Teresa,Manhattan,Inwood,40.86942,-73.92385,45,30,80,10/30/2023,4.07,4,365,38,4.84,1 bed,1 shared bath,Rental unit in New York,1 bedroom
8698,Uni-Inn Properties,Manhattan,Harlem,40.79965695,-73.9523083,677,3,29,10/30/2023,1.49,2,346,3,4.9,6 beds,1 bath,Rental unit in New York,3 bedrooms
8699,Teresa,Manhattan,Inwood,40.8674,-73.92379,53,30,101,11/13/2023,5.17,4,365,47,4.8,1 bed,1 shared bath,Rental unit in New York,1 bedroom
8700,Bi,Brooklyn,Cobble Hill,40.68993,-73.99643,75,30,81,10/23/2023,4.18,6,179,41,4.69,1 bed,1 shared bath,Townhouse in Brooklyn,1 bedroom
8701,Teresa,Manhattan,Inwood,40.8695,-73.92287,45,30,98,9/24/2023,5.06,4,307,56,4.74,1 bed,1 shared bath,Rental unit in New York,1 bedroom
8702,Safi,Manhattan,East Harlem,40.7979,-73.93972,100,30,51,11/11/2023,2.62,1,337,30,4.82,1 bed,1 shared bath,Rental unit in New York,1 bedroom
8703,The Local Stay,Manhattan,Upper East Side,40.78135,-73.94743,177,30,3,6/28/2023,0.16,65,255,2,5,2 beds,1 bath,Rental unit in New York,1 bedroom
